iter	Logloss
0	0.6562412762
1	0.622960666
2	0.5920975847
3	0.5635859184
4	0.537650455
5	0.51366418
6	0.4927745719
7	0.4727578354
8	0.4548479736
9	0.4380956036
10	0.423108619
11	0.4079100143
12	0.3947461622
13	0.3825996727
14	0.3723876399
15	0.3623526889
16	0.3529244244
17	0.3441119271
18	0.3360292917
19	0.3287204664
20	0.3218347719
21	0.3153880369
22	0.3093000468
23	0.3035180474
24	0.298486814
25	0.2939445512
26	0.2893451998
27	0.285439279
28	0.2816848172
29	0.2778921684
30	0.2752992311
31	0.2724388743
32	0.2697625947
33	0.2670141657
34	0.2644187868
35	0.2621527991
36	0.2597226508
37	0.2577159349
38	0.2554660231
39	0.2537777526
40	0.2520410623
41	0.2505409017
42	0.2491033986
43	0.2477899213
44	0.2466163263
45	0.245391623
46	0.244024596
47	0.2428563504
48	0.2418197022
49	0.2407822859
50	0.2399150106
51	0.2387758992
52	0.2379919662
53	0.2370222552
54	0.2362679776
55	0.2356089208
56	0.2349392474
57	0.2343198591
58	0.233710923
59	0.2331245644
60	0.2325523339
61	0.2320659147
62	0.2314422468
63	0.2309257333
64	0.230475334
65	0.2300231789
66	0.229688548
67	0.2294237895
68	0.2290580081
69	0.2287126096
70	0.2283838767
71	0.2279309673
72	0.2276414092
73	0.2273536205
74	0.2269026039
75	0.2265661349
76	0.2262924332
77	0.2260806347
78	0.2258351893
79	0.2256037211
80	0.2254317008
81	0.2251225417
82	0.2249382724
83	0.2247110152
84	0.2245460865
85	0.2243450829
86	0.2241231341
87	0.2238642875
88	0.2236452192
89	0.2234770807
90	0.2232436373
91	0.2230894624
92	0.2229369472
93	0.2227487824
94	0.2225932358
95	0.2224538611
96	0.2223135674
97	0.2222207606
98	0.2220996016
99	0.2219627919
100	0.2217834881
101	0.2216501213
102	0.2214878261
103	0.2213946765
104	0.2212871243
105	0.2211581468
106	0.2210751201
107	0.2209816687
108	0.2208944446
109	0.2207699524
110	0.2206849367
111	0.2205747099
112	0.220496141
113	0.220380551
114	0.2202963446
115	0.2202193119
116	0.2201520867
