iter	Passed	Remaining
0	29	29905
1	48	24253
2	65	21875
3	83	20885
4	102	20472
5	120	19973
6	138	19639
7	155	19285
8	169	18617
9	186	18490
10	204	18361
11	223	18371
12	240	18293
13	260	18380
14	278	18308
15	296	18263
16	314	18184
17	333	18181
18	354	18283
19	371	18225
20	385	17989
21	405	18007
22	423	17995
23	445	18102
24	466	18184
25	487	18278
26	507	18274
27	523	18171
28	540	18109
29	558	18045
30	564	17651
31	583	17639
32	601	17612
33	619	17594
34	638	17599
35	652	17484
36	675	17580
37	695	17613
38	713	17581
39	733	17609
40	753	17632
41	772	17621
42	793	17665
43	812	17657
44	829	17604
45	847	17574
46	865	17550
47	884	17534
48	902	17518
49	920	17484
50	938	17464
51	956	17434
52	973	17389
53	992	17394
54	1010	17359
55	1028	17339
56	1048	17342
57	1069	17374
58	1090	17388
59	1108	17366
60	1126	17335
61	1143	17307
62	1162	17282
63	1180	17265
64	1198	17233
65	1216	17217
66	1233	17180
67	1250	17135
68	1268	17113
69	1285	17077
70	1303	17050
71	1322	17041
72	1340	17017
73	1360	17030
74	1382	17049
75	1403	17060
76	1421	17037
77	1438	17008
78	1456	16981
79	1474	16954
80	1491	16927
81	1509	16899
82	1526	16861
83	1543	16835
84	1563	16830
85	1582	16820
86	1601	16805
87	1620	16795
88	1641	16802
89	1658	16773
90	1677	16758
91	1694	16728
92	1712	16700
93	1730	16677
94	1748	16653
95	1766	16638
96	1784	16614
97	1802	16592
98	1820	16571
99	1838	16543
100	1855	16513
101	1873	16496
102	1894	16494
103	1912	16473
104	1929	16447
105	1946	16420
106	1963	16387
107	1981	16369
108	1999	16343
109	2016	16318
110	2036	16310
111	2056	16307
112	2075	16291
113	2092	16264
114	2109	16235
115	2127	16212
116	2142	16172
117	2160	16148
118	2178	16127
119	2197	16118
120	2217	16105
121	2236	16095
122	2258	16099
123	2277	16091
124	2294	16062
125	2312	16042
126	2331	16026
127	2351	16019
128	2372	16016
129	2390	16001
130	2408	15976
131	2425	15949
132	2443	15928
133	2464	15926
134	2483	15911
135	2501	15891
136	2519	15873
137	2539	15860
138	2555	15830
139	2574	15816
140	2593	15801
141	2610	15770
142	2627	15748
143	2644	15720
144	2662	15698
145	2680	15676
146	2696	15647
147	2713	15623
148	2732	15605
149	2749	15580
150	2767	15558
151	2784	15536
152	2802	15515
153	2821	15500
154	2840	15483
155	2858	15464
156	2876	15446
157	2893	15422
158	2911	15399
159	2927	15371
160	2945	15349
161	2964	15335
162	2985	15330
163	3002	15305
164	3020	15288
165	3035	15252
166	3052	15228
167	3070	15206
168	3088	15184
169	3107	15169
170	3124	15148
171	3143	15132
172	3163	15120
173	3180	15100
174	3198	15078
175	3216	15057
176	3233	15033
177	3250	15009
178	3267	14987
179	3286	14972
180	3304	14952
181	3322	14932
182	3340	14913
183	3359	14897
184	3376	14875
185	3393	14849
186	3410	14825
187	3427	14802
188	3443	14776
189	3461	14757
190	3479	14739
191	3496	14715
192	3513	14692
193	3531	14671
194	3548	14650
195	3565	14627
196	3585	14615
197	3601	14589
198	3619	14568
199	3637	14551
200	3654	14526
201	3671	14505
202	3690	14487
203	3707	14466
204	3724	14442
205	3740	14419
206	3757	14395
207	3775	14375
208	3792	14353
209	3809	14332
210	3827	14312
211	3843	14286
212	3860	14263
213	3878	14244
214	3896	14226
215	3914	14207
216	3932	14188
217	3949	14166
218	3966	14147
219	3984	14127
220	4002	14108
221	4020	14089
222	4039	14073
223	4056	14053
224	4074	14033
225	4092	14014
226	4107	13988
227	4126	13970
228	4143	13951
229	4161	13931
230	4179	13915
231	4196	13892
232	4213	13870
233	4229	13846
234	4249	13832
235	4267	13815
236	4285	13795
237	4304	13781
238	4325	13771
239	4342	13751
240	4360	13732
241	4377	13711
242	4395	13692
243	4414	13676
244	4431	13656
245	4452	13645
246	4470	13629
247	4491	13618
248	4508	13598
249	4525	13575
250	4542	13556
251	4557	13529
252	4576	13511
253	4593	13492
254	4610	13469
255	4628	13450
256	4646	13431
257	4664	13416
258	4685	13404
259	4703	13385
260	4720	13366
261	4735	13339
262	4752	13318
263	4769	13297
264	4787	13277
265	4802	13253
266	4819	13231
267	4837	13212
268	4853	13190
269	4872	13173
270	4888	13149
271	4905	13129
272	4922	13108
273	4930	13064
274	4948	13045
275	4965	13026
276	4981	13002
277	4999	12983
278	5014	12958
279	5029	12931
280	5044	12907
281	5061	12886
282	5077	12865
283	5097	12851
284	5116	12835
285	5132	12813
286	5151	12797
287	5171	12785
288	5189	12766
289	5206	12746
290	5224	12730
291	5242	12711
292	5259	12690
293	5276	12670
294	5295	12654
295	5309	12628
296	5324	12603
297	5342	12585
298	5360	12567
299	5376	12546
300	5393	12525
301	5411	12508
302	5429	12489
303	5448	12473
304	5466	12457
305	5484	12438
306	5500	12416
307	5516	12394
308	5534	12376
309	5551	12355
310	5566	12331
311	5584	12314
312	5600	12293
313	5617	12273
314	5634	12251
315	5651	12233
316	5668	12213
317	5685	12193
318	5700	12169
319	5718	12152
320	5734	12130
321	5753	12113
322	5770	12094
323	5787	12075
324	5804	12055
325	5822	12037
326	5838	12016
327	5854	11994
328	5870	11973
329	5890	11960
330	5907	11940
331	5923	11919
332	5942	11903
333	5960	11885
334	5976	11864
335	5993	11844
336	6012	11829
337	6030	11810
338	6048	11794
339	6066	11775
340	6083	11756
341	6102	11741
342	6118	11720
343	6137	11704
344	6154	11683
345	6172	11666
346	6191	11650
347	6207	11629
348	6222	11606
349	6240	11589
350	6254	11564
351	6269	11541
352	6286	11523
353	6303	11503
354	6321	11485
355	6337	11464
356	6355	11446
357	6370	11424
358	6387	11404
359	6405	11387
360	6420	11364
361	6438	11347
362	6455	11328
363	6476	11315
364	6493	11296
365	6509	11275
366	6524	11252
367	6540	11231
368	6555	11210
369	6572	11191
370	6590	11173
371	6608	11155
372	6625	11137
373	6644	11122
374	6662	11104
375	6680	11086
376	6696	11066
377	6715	11050
378	6735	11035
379	6749	11012
380	6765	10992
381	6783	10973
382	6800	10954
383	6817	10935
384	6833	10915
385	6850	10897
386	6869	10880
387	6884	10858
388	6898	10835
389	6915	10817
390	6935	10802
391	6954	10786
392	6971	10767
393	6989	10749
394	7007	10732
395	7024	10714
396	7041	10694
397	7059	10677
398	7075	10658
399	7095	10643
400	7114	10627
401	7131	10608
402	7147	10588
403	7164	10569
404	7182	10551
405	7200	10535
406	7217	10516
407	7235	10498
408	7252	10480
409	7266	10457
410	7284	10438
411	7302	10421
412	7319	10403
413	7337	10386
414	7354	10367
415	7372	10349
416	7390	10331
417	7406	10312
418	7423	10294
419	7440	10274
420	7456	10255
421	7474	10236
422	7489	10216
423	7506	10197
424	7522	10177
425	7540	10160
426	7558	10142
427	7575	10124
428	7590	10102
429	7609	10086
430	7628	10071
431	7646	10053
432	7663	10034
433	7678	10013
434	7694	9994
435	7709	9973
436	7726	9953
437	7745	9938
438	7765	9923
439	7782	9904
440	7799	9886
441	7816	9868
442	7834	9850
443	7852	9833
444	7869	9815
445	7886	9796
446	7903	9777
447	7920	9759
448	7941	9745
449	7961	9730
450	7979	9713
451	7997	9696
452	8013	9675
453	8027	9653
454	8042	9633
455	8055	9610
456	8072	9592
457	8088	9572
458	8105	9553
459	8124	9537
460	8143	9521
461	8163	9506
462	8181	9489
463	8199	9472
464	8219	9456
465	8238	9440
466	8258	9425
467	8274	9406
468	8289	9385
469	8307	9367
470	8324	9350
471	8342	9331
472	8359	9314
473	8374	9293
474	8390	9273
475	8408	9256
476	8426	9238
477	8443	9221
478	8460	9202
479	8477	9184
480	8495	9166
481	8514	9150
482	8533	9134
483	8551	9117
484	8569	9099
485	8585	9079
486	8602	9062
487	8623	9047
488	8641	9029
489	8658	9011
490	8673	8991
491	8689	8971
492	8706	8953
493	8725	8937
494	8740	8917
495	8759	8900
496	8775	8881
497	8792	8862
498	8807	8842
499	8824	8824
500	8841	8806
501	8858	8788
502	8876	8770
503	8890	8749
504	8904	8728
505	8921	8709
506	8938	8691
507	8955	8673
508	8968	8651
509	8984	8632
510	9001	8613
511	9019	8596
512	9038	8580
513	9056	8563
514	9076	8548
515	9096	8531
516	9114	8515
517	9131	8496
518	9148	8478
519	9166	8461
520	9184	8443
521	9201	8425
522	9216	8405
523	9230	8385
524	9245	8364
525	9263	8347
526	9277	8327
527	9295	8309
528	9313	8292
529	9327	8271
530	9343	8252
531	9360	8234
532	9377	8216
533	9393	8197
534	9408	8177
535	9426	8159
536	9443	8142
537	9461	8125
538	9477	8105
539	9493	8087
540	9509	8068
541	9527	8051
542	9545	8033
543	9561	8014
544	9577	7996
545	9592	7976
546	9606	7955
547	9621	7936
548	9641	7920
549	9658	7902
550	9675	7884
551	9689	7863
552	9705	7845
553	9722	7827
554	9740	7809
555	9756	7791
556	9773	7772
557	9790	7755
558	9808	7738
559	9826	7720
560	9842	7702
561	9859	7684
562	9877	7667
563	9896	7650
564	9913	7632
565	9929	7613
566	9946	7596
567	9965	7579
568	9982	7561
569	10001	7544
570	10017	7526
571	10033	7507
572	10050	7489
573	10068	7472
574	10087	7455
575	10102	7436
576	10119	7418
577	10137	7401
578	10153	7382
579	10171	7365
580	10189	7348
581	10205	7329
582	10221	7311
583	10238	7293
584	10256	7276
585	10273	7257
586	10289	7239
587	10305	7221
588	10321	7202
589	10340	7185
590	10356	7167
591	10376	7151
592	10397	7136
593	10412	7117
594	10430	7099
595	10447	7081
596	10463	7063
597	10480	7045
598	10497	7027
599	10513	7008
600	10531	6991
601	10551	6976
602	10569	6958
603	10589	6942
604	10604	6923
605	10622	6906
606	10639	6888
607	10655	6869
608	10672	6852
609	10691	6835
610	10709	6818
611	10726	6800
612	10743	6782
613	10759	6763
614	10775	6745
615	10793	6728
616	10810	6710
617	10828	6693
618	10846	6676
