feature,importance
horse_jockey_target_enc,65
final_corner_pos,37
same_jockey,19
prev_rank,11
prev_prize_race_max,8
rank_5_min,7
rank_3_min,7
prev_prize_diff_race_max,7
prize_5_mean_race_mean,6
prev_prize_ratio_race_mean,6
prev_prize_diff_race_mean,5
prize_5_mean_ratio_race_mean,5
rank_10_min,4
rank_5_mean_diff_race_mean,3
prev_rank_diff_race_mean,2
prev_prize_zscore,2
prize_5_mean_zscore,2
prev_prize_race_mean,2
prev_agari_3f,2
prev_rank_ratio_race_mean,2
rank_5_mean_zscore,1
jockey_place_rate_100,1
prev_odds,1
prize_5_mean_diff_race_mean,1
prev_rank_2,1
rank_3_median,1
jockey_place_target_enc,1
trainer_place_target_enc,1
age_diff_race_max,0
age_diff_race_min,0
age_ratio_race_mean,0
age_zscore,0
age_diff_race_mean,0
prev_rank_race_mean,0
bracket,0
prev_rank_race_std,0
prev_rank_race_min,0
prev_rank_race_max,0
age_race_min,0
prev_rank_zscore,0
prev_rank_diff_race_min,0
prev_rank_diff_race_max,0
prev_prize_race_std,0
prev_prize_race_min,0
prev_prize_diff_race_min,0
prev_agari_3f_race_mean,0
prev_agari_3f_race_std,0
age_race_max,0
horse_weight_zscore,0
age_race_std,0
avg_rank_place_10,0
avg_rank_Mile,0
avg_rank_Intermediate,0
avg_rank_Long,0
avg_rank_turf,0
avg_rank_dirt,0
avg_rank_place_01,0
avg_rank_place_02,0
avg_rank_place_03,0
avg_rank_place_04,0
avg_rank_place_05,0
avg_rank_place_06,0
avg_rank_place_07,0
avg_rank_place_08,0
avg_rank_place_09,0
weight_change_ratio,0
age_race_mean,0
jockey_win_rate_100,0
jockey_show_rate_100,0
trainer_win_rate_100,0
trainer_place_rate_100,0
trainer_show_rate_100,0
horse_weight_race_mean,0
horse_weight_race_std,0
horse_weight_race_min,0
horse_weight_race_max,0
horse_weight_diff_race_mean,0
prev_agari_3f_race_max,0
horse_weight_ratio_race_mean,0
horse_weight_diff_race_min,0
horse_weight_diff_race_max,0
prev_agari_3f_race_min,0
interval_diff_race_mean,0
prev_agari_3f_diff_race_mean,0
jockey_trainer_pair_target_enc,0
agari_3f_5_mean_diff_race_min,0
agari_3f_5_mean_diff_race_max,0
position_gain_5_mean_race_mean,0
position_gain_5_mean_race_std,0
position_gain_5_mean_race_min,0
position_gain_5_mean_race_max,0
position_gain_5_mean_diff_race_mean,0
position_gain_5_mean_zscore,0
position_gain_5_mean_ratio_race_mean,0
position_gain_5_mean_diff_race_min,0
position_gain_5_mean_diff_race_max,0
jockey_id_target_enc,0
trainer_id_target_enc,0
sire_id_target_enc,0
prev_agari_3f_zscore,0
bms_id_target_enc,0
owner_id_target_enc,0
breeder_id_target_enc,0
sire_surface_target_enc,0
sire_distance_target_enc,0
bms_surface_target_enc,0
bms_distance_target_enc,0
jockey_surface_target_enc,0
jockey_distance_target_enc,0
trainer_surface_target_enc,0
trainer_distance_target_enc,0
owner_surface_target_enc,0
age_gender_target_enc,0
agari_3f_5_mean_ratio_race_mean,0
agari_3f_5_mean_zscore,0
agari_3f_5_mean_diff_race_mean,0
agari_3f_5_mean_race_max,0
prev_agari_3f_ratio_race_mean,0
prev_agari_3f_diff_race_min,0
prev_agari_3f_diff_race_max,0
interval_race_mean,0
interval_race_std,0
interval_race_min,0
interval_race_max,0
rank_momentum_5,0
interval_zscore,0
interval_ratio_race_mean,0
interval_diff_race_min,0
interval_diff_race_max,0
rank_5_mean_race_mean,0
rank_5_mean_race_std,0
rank_5_mean_race_min,0
rank_5_mean_race_max,0
rank_5_mean_ratio_race_mean,0
rank_5_mean_diff_race_min,0
rank_5_mean_diff_race_max,0
prize_5_mean_race_std,0
prize_5_mean_race_min,0
prize_5_mean_race_max,0
prize_5_mean_diff_race_min,0
prize_5_mean_diff_race_max,0
agari_3f_5_mean_race_mean,0
agari_3f_5_mean_race_std,0
agari_3f_5_mean_race_min,0
avg_rank_Sprint,0
horse_weight_10_median,0
horse_weight_100_median,0
prize_100_sum,0
rank_100_std,0
rank_100_min,0
rank_100_max,0
rank_100_median,0
prize_3_mean,0
prize_3_sum,0
prize_3_max,0
prize_5_mean,0
prize_5_sum,0
prize_5_max,0
prize_10_mean,0
prize_10_sum,0
prize_10_max,0
prize_100_mean,0
prize_100_max,0
rank_10_median,0
agari_3f_3_mean,0
agari_3f_3_min,0
agari_3f_3_median,0
agari_3f_5_mean,0
agari_3f_5_min,0
agari_3f_5_median,0
agari_3f_10_mean,0
agari_3f_10_min,0
agari_3f_10_median,0
agari_3f_100_mean,0
agari_3f_100_min,0
agari_3f_100_median,0
first_corner_pos_3_mean,0
first_corner_pos_3_median,0
rank_100_mean,0
rank_10_max,0
first_corner_pos_5_median,0
month_cos,0
gender,0
age,0
horse_weight,0
weight_change,0
surface,0
distance,0
weather,0
condition,0
place,0
distance_category,0
weight_bin,0
first_corner_pos,0
interval,0
month_sin,0
prev_rank_3,0
rank_10_std,0
prev_prize,0
prev_prize_2,0
prev_prize_3,0
