date,place,race_id,horse_name,jockey,trainer,odds,pred_prob,ev,rank,race_laps,weather,surface,distance
2025-11-30,5,202505050810,シャパリュ,三浦皇成,[東]菊沢隆徳,27.0,0.1737873968751876,4.692259715630065,1,12.5 - 23.5 - 35.3 - 47.4 - 59.3 - 71.3 - 84.1 (35.3-36.7),晴,ダ,1400.0
2025-11-30,36,202536113002,ワイルドブーケ,小林凌,[地]佐藤敏彦,37.6,0.1187477207672555,4.464914300848807,1,,曇,ダ,1300.0
2025-11-29,54,202554112903,ゲンパチハマジ,井上瑛太,[地]宮川浩一,9.7,0.5808924028676044,5.634656307815762,1,,晴,ダ,1400.0
2025-11-24,3,202503030602,ステラスプレンダー,小沢大仁,[西]石坂公一,111.7,0.0517449801293388,5.779914280447144,1,7.2 - 18.0 - 29.5 - 42.5 - 55.2 - 67.7 - 80.7 - 93.6 - 106.8 (29.5-39.1),晴,ダ,1700.0
2025-11-24,3,202503030611,シェットランド,吉田隼人,[東]久保田貴,50.7,0.1067130526096061,5.41035176730703,1,7.3 - 18.6 - 30.8 - 43.6 - 56.3 - 68.5 - 80.7 - 93.3 - 106.2 (30.8-37.7),曇,ダ,1700.0
2025-11-24,36,202536112405,メモリーメイラード,鈴木祐,[地]高橋純,28.2,0.2511686068905551,7.0829547143136535,1,,曇,ダ,1300.0
2025-11-24,3,202503030607,レグザゴン,吉村誠之,[東]斎藤誠,41.3,0.3121625834462933,12.892314696331912,1,9.7 - 20.7 - 32.1 - 44.1 - 56.3 - 68.7 (32.1-36.6),曇,ダ,1150.0
2025-11-23,46,202546112308,シェヴロンケリー,加藤翔馬,[地]堀場裕充,52.0,0.1105425061450976,5.748210319545075,1,,晴,ダ,1400.0
2025-11-22,55,202555112207,ムーンパスゴールド,川島拓,[地]土井道隆,74.7,0.0512554684568041,3.8287834937232663,1,,晴,ダ,1400.0
2025-11-22,55,202555112202,アマルフィー,竹吉徹,[地]真島元徳,9.5,0.5760961158337379,5.472913100420509,1,,晴,ダ,1400.0
2025-11-22,55,202555112206,エムティピース,飛田愛斗,[地]渡辺博文,13.3,0.6189633098165831,8.232212020560556,1,,晴,ダ,1400.0
2025-11-16,8,202508040401,エイシンビリオン,田山旺佑,[西]今野貞一,37.1,0.1410570717738171,5.233217362808615,1,12.1 - 23.1 - 34.8 - 47.1 - 59.3 - 71.6 - 84.7 (34.8-37.6),晴,ダ,1400.0
2025-11-16,5,202505050404,アジアントレジャー,酒井学,[東]蛯名正義,22.6,0.1733026073245316,3.9166389255344143,1,12.6 - 24.0 - 36.9 - 50.2 - 63.6 - 76.3 - 88.3 - 100.5 (36.9-36.9),晴,ダ,1600.0
2025-11-09,8,202508040201,ムテキシャチョウ,川田将雅,[西]森秀行,10.7,0.3233773584556069,3.4601377354749934,1,11.9 - 23.0 - 35.4 - 48.0 - 60.9 - 73.3 - 86.0 (35.4-38.0),雨,ダ,1400.0
2025-11-09,3,202503030210,アレナパラシオ,富田暁,[西]四位洋文,65.6,0.0944648860641634,6.196896525809118,1,7.1 - 18.4 - 30.1 - 42.6 - 55.3 - 67.7 - 80.3 - 93.0 - 105.5 (30.1-37.8),小雨,ダ,1700.0
2025-11-08,8,202508040110,フロムダスク,西村淳也,[西]森秀行,70.2,0.0445419796753998,3.126846973213066,1,12.3 - 23.1 - 34.7 - 46.9 - 58.7 - 70.4 - 81.4 - 93.0 (34.7-34.3),晴,芝,1600.0
2025-11-02,35,202535110201,ネオシャクナゲ,佐々木志,[地]高橋純,7.6,0.4407612528122081,3.3497855213727816,1,,曇,ダ,1000.0
2025-11-02,35,202535110208,チビアーサー,関本玲花,[地]永田幸宏,31.7,0.3770910212867776,11.953785374790849,1,,曇,ダ,1400.0
2025-11-01,35,202535110102,グローブミッション,村上忍,[地]村上実,6.2,0.7879882349013899,4.885527056388618,1,,曇,ダ,1000.0
2025-11-01,8,202508031004,メイショウウネビ,森一馬,[西]本田優,15.8,0.4783753796622134,7.558330998662972,1,,曇,障,2910.0
2025-11-01,35,202535110103,シャラ,山本政聡,[地]橘友和,6.3,0.5209264435846546,3.2818365945833237,1,,曇,ダ,1200.0
2025-11-01,5,202505041004,ビルバンテ,横山和生,[東]蛯名正義,12.8,0.2828250828475233,3.6201610604482983,1,12.7 - 23.5 - 35.6 - 48.2 - 60.6 - 72.3 - 84.5 (35.6-36.3),晴,ダ,1400.0
2025-10-19,8,202508030704,ミルトベスト,岩田望来,[西]中村直也,21.6,0.1983322371140243,4.283976321662926,1,12.5 - 23.6 - 35.3 - 47.2 - 59.1 - 70.6 - 82.2 (35.3-35.0),曇,芝,1400.0
2025-10-19,8,202508030710,グランフォーブル,酒井学,[東]土田稔,116.5,0.0330344604581573,3.8485146433753252,1,12.7 - 24.1 - 35.7 - 47.8 - 59.7 - 71.4 - 83.2 (35.7-35.4),曇,ダ,1400.0
2025-10-19,8,202508030706,ミッションルース,田口貫太,[西]平田修,170.4,0.0672782518668817,11.464214118116642,1,12.3 - 23.6 - 36.5 - 49.2 - 62.1 - 74.7 - 86.8 - 99.4 - 112.5 (36.5-37.8),曇,ダ,1800.0
2025-10-19,8,202508030705,ヴァロンブローサ,北村友一,[西]池添学,9.7,0.316715941220538,3.0721446298392183,1,12.9 - 24.3 - 36.9 - 49.8 - 61.9 - 74.0 - 86.3 - 98.4 - 110.4 - 122.1 (36.9-35.8),曇,芝,2000.0
