column,dtype,missing_count,missing_rate,unique_count,sample_1,sample_2,sample_3
recordspec,object,0,0.0,1,RA,RA,RA
datakubun,object,21829,48.04,2,7,7,7
makedate,object,0,0.0,52,20240715,20240715,20240715
year,int64,0,0.0,1,2024,2024,2024
monthday,int64,0,0.0,106,713,713,713
jyocd,float64,0,0.0,10,10.0,10.0,10.0
kaiji,int64,0,0.0,7,3,3,3
nichiji,int64,0,0.0,12,5,5,5
racenum,int64,0,0.0,12,1,1,1
youbicd,int64,0,0.0,3,1,1,1
tokunum,int64,0,0.0,130,0,0,0
hondai,object,0,0.0,916,,,
fukudai,object,0,0.0,25,,,
kakko,object,0,0.0,21,,,
hondaieng,object,0,0.0,914,,,
fukudaieng,object,0,0.0,24,,,
kakkoeng,object,0,0.0,21,,,
ryakusyo10,object,0,0.0,916,,,
ryakusyo6,object,0,0.0,916,,,
ryakusyo3,object,0,0.0,906,,,
kubun,int64,0,0.0,4,0,0,0
nkai,int64,0,0.0,55,0,0,0
gradecd,object,0,0.0,6,,,
gradecdbefore,object,0,0.0,1,,,
syubetucd,int64,0,0.0,4,11,11,11
kigocd,float64,26112,57.47,8,3.0,3.0,3.0
jyuryocd,int64,0,0.0,4,3,3,3
jyokencd1,int64,0,0.0,5,703,703,703
jyokencd2,int64,0,0.0,7,0,0,0
jyokencd3,int64,0,0.0,5,0,0,0
jyokencd4,int64,0,0.0,5,0,0,0
jyokencd5,int64,0,0.0,6,703,703,703
jyokenname,object,0,0.0,1,,,
kyori,int64,0,0.0,21,1000,1000,1000
kyoribefore,int64,0,0.0,1,0,0,0
trackcd,int64,0,0.0,8,24,24,24
trackcdbefore,int64,0,0.0,1,0,0,0
coursekubuncd,float64,45437,100.0,1,,,
coursekubuncdbefore,float64,45437,100.0,1,,,
honsyokin1,int64,0,0.0,52,55000,55000,55000
honsyokin2,int64,0,0.0,51,22000,22000,22000
honsyokin3,int64,0,0.0,52,14000,14000,14000
honsyokin4,int64,0,0.0,56,8300,8300,8300
honsyokin5,int64,0,0.0,60,5500,5500,5500
honsyokin6,int64,0,0.0,6,0,0,0
honsyokin7,int64,0,0.0,1,0,0,0
honsyokinbefore1,int64,0,0.0,4,0,0,0
honsyokinbefore2,int64,0,0.0,8,0,0,0
honsyokinbefore3,int64,0,0.0,10,0,0,0
honsyokinbefore4,int64,0,0.0,10,0,0,0
honsyokinbefore5,int64,0,0.0,9,0,0,0
fukasyokin1,int64,0,0.0,107,0,0,0
fukasyokin2,int64,0,0.0,109,0,0,0
fukasyokin3,int64,0,0.0,108,0,0,0
fukasyokin4,int64,0,0.0,3,0,0,0
fukasyokin5,int64,0,0.0,1,0,0,0
fukasyokinbefore1,int64,0,0.0,1,0,0,0
fukasyokinbefore2,int64,0,0.0,4,0,0,0
fukasyokinbefore3,int64,0,0.0,6,0,0,0
hassotime,int64,0,0.0,99,1001,1001,1001
hassotimebefore,int64,0,0.0,33,1000,1000,1000
torokutosu,int64,0,0.0,14,7,7,7
syussotosu,int64,0,0.0,14,7,7,7
tenkocd,int64,0,0.0,4,2,2,2
sibababacd,int64,0,0.0,5,0,0,0
dirtbabacd,int64,0,0.0,5,2,2,2
syogaimiletime,int64,0,0.0,1,0,0,0
corner1,int64,0,0.0,4,3,3,3
syukaisu1,int64,0,0.0,3,1,1,1
jyuni1,float64,45437,100.0,1,,,
corner2,int64,0,0.0,4,4,4,4
syukaisu2,int64,0,0.0,3,1,1,1
jyuni2,float64,45437,100.0,1,,,
corner3,int64,0,0.0,3,0,0,0
syukaisu3,int64,0,0.0,3,0,0,0
jyuni3,float64,45437,100.0,1,,,
corner4,int64,0,0.0,2,0,0,0
syukaisu4,int64,0,0.0,3,0,0,0
jyuni4,float64,45437,100.0,1,,,
race_date,datetime64[ns],0,0.0,106,2024-07-13 00:00:00,2024-07-13 00:00:00,2024-07-13 00:00:00
race_id,object,0,0.0,3327,2024071310030501,2024071310030501,2024071310030501
surface,object,0,0.0,2,dirt,dirt,dirt
track_condition_code,int64,0,0.0,4,2,2,2
wakuban,int64,0,0.0,8,1,2,3
umaban,int64,0,0.0,18,1,2,3
kettonum,object,0,0.0,11497,2022102776,2022110088,2022100683
bamei,object,0,0.0,11497,マルモリマジック,オトメナシャチョウ,ラッキーキャット
umakigocd,int64,0,0.0,6,0,6,0
sexcd,int64,0,0.0,3,2,2,2
hinsyucd,int64,0,0.0,1,1,1,1
keirocd,int64,0,0.0,8,3,3,1
barei,int64,0,0.0,10,2,2,2
tozaicd,int64,0,0.0,4,2,2,2
chokyosicode,object,0,0.0,227,01003,00427,01032
chokyosiryakusyo,object,0,0.0,227,川村禎彦,森秀行,大根田裕
banusicode,object,0,0.0,1495,970031,756800,018700
banusiname,object,0,0.0,1500,山下　繁美,ミキハウスＨＫサービス,ロイヤルパーク
fukusyoku,float64,45437,100.0,1,,,
reserved1,float64,45437,100.0,1,,,
futan,int64,0,0.0,22,540,550,550
futanbefore,int64,0,0.0,10,0,0,0
blinker,int64,0,0.0,2,0,0,0
reserved2,int64,0,0.0,1,0,0,0
kisyucode,object,0,0.0,191,01208,01154,01125
kisyucodebefore,int64,0,0.0,44,0,0,0
kisyuryakusyo,object,0,0.0,191,田口貫太,松若風馬,国分優作
kisyuryakusyobefore,object,0,0.0,44,,,
minaraicd,int64,0,0.0,6,1,0,0
minaraicdbefore,int64,0,0.0,5,0,0,0
bataijyu,float64,0,0.0,123,460.0,480.0,388.0
zogenfugo,object,45437,100.0,1,,,
zogensa,float64,4832,10.63,40,0.0,6.0,6.0
chakusacdp,float64,45437,100.0,1,,,
chakusacdpp,float64,45437,100.0,1,,,
odds,float64,0,0.0,3223,21.4,3.7,60.4
reserved3,int64,0,0.0,1,0,0,0
reserved4,int64,0,0.0,1,0,0,0
kettonum1,int64,0,0.0,3823,2022104957,2022104957,2022104957
bamei1,float64,45437,100.0,1,,,
kettonum2,int64,0,0.0,14,0,0,0
bamei2,float64,45437,100.0,1,,,
kettonum3,int64,0,0.0,1,0,0,0
bamei3,float64,45437,100.0,1,,,
dmkubun,int64,0,0.0,1,3,3,3
dmgosap,int64,0,0.0,101,52,51,52
dmgosam,int64,0,0.0,101,10,7,10
tanodds,float64,0,0.0,3223,21.4,3.7,60.4
fukuoddslow,float64,0,0.0,592,5.6,1.2,13.5
tanninki,int64,0,0.0,18,6,2,7
distance_bin,object,0,0.0,4,sprint,sprint,sprint
grade_code,object,0,0.0,6,X,X,X
effective_jyokencd,object,0,0.0,6,703,703,703
class_level_current,float64,0,0.0,8,1.0,1.0,1.0
class_level_source_flag,float64,0,0.0,2,1.0,1.0,1.0
class_bucket,object,0,0.0,8,maiden,maiden,maiden
class_regime_after_202406,float64,0,0.0,2,1.0,1.0,1.0
field_size,int64,0,0.0,14,7,7,7
popularity_rank_fallback_used,float64,0,0.0,1,0.0,0.0,0.0
popularity_rank,float64,0,0.0,18,6.0,2.0,7.0
draw_ratio,float64,0,0.0,111,0.0,0.16666666666666666,0.3333333333333333
frame_number,int64,0,0.0,8,1,2,3
blinker_on,float64,0,0.0,2,0.0,0.0,0.0
weight_change_known,float64,0,0.0,2,1.0,1.0,1.0
weight_change_missing_flag,float64,0,0.0,2,0.0,0.0,0.0
weight_change_abs_capped,float64,4864,10.7,31,0.0,6.0,6.0
weight_change_zone,float64,4864,10.7,5,1.0,2.0,2.0
weight_change_ratio,float64,4864,10.7,1299,0.0,1.25,1.5463917525773196
weight_diff_from_mean,float64,0,0.0,6220,10.285714285714278,30.285714285714278,-61.71428571428572
odds_rank,int64,0,0.0,18,6,2,7
odds_drop_rate_60_10,float64,0,0.0,27026,-0.2515337423312882,0.11363636363636373,-0.28108108108108104
odds_drop_rate_30_10,float64,0,0.0,25942,-0.16571428571428562,0.0,-0.1048951048951049
odds_velocity,float64,0,0.0,45436,0.0408070584652812,-0.006490940514240952,-0.007758277874512733
odds_volatility,float64,47,0.1,43405,17.70240352580118,0.3238340592871796,16.1010318359886
popularity_change_30_10,float64,0,0.0,14,-1.0,0.0,0.0
odds_acceleration,float64,0,0.0,16964,0.10499999999999995,0.01666666666666668,0.028333333333333377
odds_direction_consistency,float64,0,0.0,45432,0.3282533610513401,0.17841752927809887,0.45847635066254355
overround,float64,0,0.0,3327,0.27565204472306126,0.27565204472306126,0.27565204472306126
p_market_win_adj,float64,0,0.0,45119,0.03663144049031136,0.2118683314845035,0.012978689180342106
market_entropy,float64,0,0.0,3327,1.3269601825259727,1.3269601825259727,1.3269601825259727
odds_skewness,float64,0,0.0,3327,1.9141981200874867,1.9141981200874867,1.9141981200874867
implied_prob_hhi,float64,0,0.0,3327,0.3715511524763005,0.3715511524763005,0.3715511524763005
difficulty_score,float64,0,0.0,3327,0.026519213707418415,0.026519213707418415,0.026519213707418415
rl_log_odds_entropy,float64,0,0.0,3327,1.3269601825259727,1.3269601825259727,1.3269601825259727
rl_odds_dispersion,float64,0,0.0,3327,19.86644694669166,19.86644694669166,19.86644694669166
rl_top1_odds,float64,0,0.0,49,1.4,1.4,1.4
rl_top3_odds_gap,float64,0,0.0,310,7.799999999999999,7.799999999999999,7.799999999999999
rl_favorite_rank_gap,float64,0,0.0,981,0.9718605830289659,0.9718605830289659,0.9718605830289659
rl_n_horses,float64,0,0.0,14,7.0,7.0,7.0
rl_favorite_in_wide_top1,float64,0,0.0,2,1.0,1.0,1.0
rl_trio_overlap,float64,0,0.0,3,3.0,3.0,3.0
rl_market_consistency,float64,0,0.0,2,1.0,1.0,1.0
rl_trio_odds_ratio,float64,389,0.86,3297,0.8027796088491684,0.8027796088491684,0.8027796088491684
rl_wide_harville_ratio,float64,213,0.47,3311,0.048312294066276996,0.048312294066276996,0.048312294066276996
blood_surface_wr,float64,14670,32.29,226,0.08333333333333333,0.08333333333333333,0.07692307692307693
blood_distance_wr,float64,23664,52.08,187,0.08333333333333333,0.08333333333333333,0.07692307692307693
blood_condition_wr,float64,9879,21.74,218,0.08333333333333333,0.08333333333333333,0.08333333333333333
blood_total_wr,float64,4877,10.73,272,0.08333333333333333,0.08333333333333333,0.08333333333333333
blood_prize_log,float64,12285,27.04,5143,9.798182590890704,9.305741456739435,8.881975184248867
blood_keito_cd,object,0,0.0,1,unknown,unknown,unknown
is_turf_sprint,int64,0,0.0,2,0,0,0
is_turf_mile,int64,0,0.0,2,0,0,0
is_turf_intermediate,int64,0,0.0,2,0,0,0
is_turf_long,int64,0,0.0,2,0,0,0
is_dirt_sprint,int64,0,0.0,2,1,1,1
is_dirt_mile,int64,0,0.0,2,0,0,0
is_dirt_intermediate,int64,0,0.0,2,0,0,0
is_good_track,int64,0,0.0,2,1,1,1
is_soft_track,int64,0,0.0,2,0,0,0
wide_odds_1_2,float64,435,0.96,1726,0.68,0.68,0.68
wide_odds_1_3,float64,382,0.84,1783,6.1,6.1,6.1
wide_odds_1_4,float64,389,0.86,1778,1.77,1.77,1.77
wide_odds_1_5,float64,337,0.74,1809,2.01,2.01,2.01
wide_odds_1_6,float64,402,0.88,1820,0.67,0.67,0.67
wide_odds_1_7,float64,486,1.07,1793,1.38,1.38,1.38
wide_odds_1_8,float64,862,1.9,1805,29.57,29.57,29.57
wide_odds_1_9,float64,1736,3.82,1818,11.54,11.54,11.54
wide_odds_1_10,float64,3185,7.01,1793,14.29,14.29,14.29
wide_odds_1_11,float64,5236,11.52,1756,21.36,21.36,21.36
wide_odds_1_12,float64,7631,16.79,1673,71.13,71.13,71.13
wide_odds_1_13,float64,10873,23.93,1629,14.74,14.74,14.74
wide_odds_1_14,float64,13812,30.4,1497,15.99,15.99,15.99
wide_odds_1_15,float64,18488,40.69,1317,5.53,5.53,5.53
wide_odds_1_16,float64,23809,52.4,1116,64.98,64.98,64.98
wide_odds_1_17,float64,40170,88.41,289,2.71,2.71,2.71
wide_odds_1_18,float64,41392,91.1,224,5.81,5.81,5.81
wide_odds_2_3,float64,417,0.92,1777,1.9,1.9,1.9
wide_odds_2_4,float64,424,0.93,1784,0.25,0.25,0.25
wide_odds_2_5,float64,372,0.82,1825,0.31,0.31,0.31
wide_odds_2_6,float64,437,0.96,1774,0.11,0.11,0.11
wide_odds_2_7,float64,521,1.15,1785,0.24,0.24,0.24
wide_odds_2_8,float64,891,1.96,1811,18.65,18.65,18.65
wide_odds_2_9,float64,1751,3.85,1825,11.31,11.31,11.31
wide_odds_2_10,float64,3184,7.01,1818,4.34,4.34,4.34
wide_odds_2_11,float64,5254,11.56,1767,14.1,14.1,14.1
wide_odds_2_12,float64,7629,16.79,1636,5.02,5.02,5.02
wide_odds_2_13,float64,10859,23.9,1612,3.81,3.81,3.81
wide_odds_2_14,float64,13798,30.37,1481,21.37,21.37,21.37
wide_odds_2_15,float64,18474,40.66,1325,7.02,7.02,7.02
wide_odds_2_16,float64,23795,52.37,1093,11.28,11.28,11.28
wide_odds_2_17,float64,40186,88.44,285,1.9,1.9,1.9
wide_odds_2_18,float64,41408,91.13,221,4.08,4.08,4.08
wide_odds_3_4,float64,371,0.82,1773,5.26,5.26,5.26
wide_odds_3_5,float64,319,0.7,1789,4.84,4.84,4.84
wide_odds_3_6,float64,370,0.81,1769,1.69,1.69,1.69
wide_odds_3_7,float64,468,1.03,1791,3.82,3.82,3.82
wide_odds_3_8,float64,844,1.86,1778,25.14,25.14,25.14
wide_odds_3_9,float64,1711,3.77,1797,19.36,19.36,19.36
wide_odds_3_10,float64,3144,6.92,1818,7.61,7.61,7.61
wide_odds_3_11,float64,5223,11.5,1793,16.52,16.52,16.52
wide_odds_3_12,float64,7608,16.74,1672,9.43,9.43,9.43
wide_odds_3_13,float64,10860,23.9,1600,4.9,4.9,4.9
wide_odds_3_14,float64,13799,30.37,1478,30.77,30.77,30.77
wide_odds_3_15,float64,18475,40.66,1350,10.49,10.49,10.49
wide_odds_3_16,float64,23796,52.37,1105,19.6,19.6,19.6
wide_odds_3_17,float64,40187,88.45,288,1.33,1.33,1.33
wide_odds_3_18,float64,41409,91.13,217,3.6,3.6,3.6
wide_odds_4_5,float64,326,0.72,1786,1.38,1.38,1.38
wide_odds_4_6,float64,391,0.86,1758,0.19,0.19,0.19
wide_odds_4_7,float64,475,1.05,1760,0.78,0.78,0.78
wide_odds_4_8,float64,851,1.87,1764,8.82,8.82,8.82
wide_odds_4_9,float64,1725,3.8,1805,5.04,5.04,5.04
wide_odds_4_10,float64,3158,6.95,1789,1.14,1.14,1.14
wide_odds_4_11,float64,5229,11.51,1763,5.44,5.44,5.44
wide_odds_4_12,float64,7624,16.78,1617,1.41,1.41,1.41
wide_odds_4_13,float64,10898,23.98,1591,1.14,1.14,1.14
wide_odds_4_14,float64,13837,30.45,1442,9.41,9.41,9.41
wide_odds_4_15,float64,18487,40.69,1316,2.16,2.16,2.16
wide_odds_4_16,float64,23794,52.37,1103,2.66,2.66,2.66
wide_odds_4_17,float64,40186,88.44,285,19.27,19.27,19.27
wide_odds_4_18,float64,41392,91.1,223,33.84,33.84,33.84
wide_odds_5_6,float64,339,0.75,1740,0.33,0.33,0.33
wide_odds_5_7,float64,423,0.93,1784,0.94,0.94,0.94
wide_odds_5_8,float64,799,1.76,1776,30.76,30.76,30.76
wide_odds_5_9,float64,1666,3.67,1826,16.95,16.95,16.95
wide_odds_5_10,float64,3115,6.86,1782,7.31,7.31,7.31
wide_odds_5_11,float64,5185,11.41,1755,18.85,18.85,18.85
wide_odds_5_12,float64,7580,16.68,1646,7.05,7.05,7.05
wide_odds_5_13,float64,10854,23.89,1588,5.21,5.21,5.21
wide_odds_5_14,float64,13793,30.36,1467,49.72,49.72,49.72
wide_odds_5_15,float64,18456,40.62,1305,11.97,11.97,11.97
wide_odds_5_16,float64,23735,52.24,1112,15.62,15.62,15.62
wide_odds_5_17,float64,40170,88.41,286,1.7,1.7,1.7
wide_odds_5_18,float64,41392,91.1,222,3.75,3.75,3.75
wide_odds_6_7,float64,453,1.0,1739,0.21,0.21,0.21
wide_odds_6_8,float64,829,1.82,1745,57.63,57.63,57.63
wide_odds_6_9,float64,1703,3.75,1780,38.76,38.76,38.76
wide_odds_6_10,float64,3152,6.94,1744,22.09,22.09,22.09
wide_odds_6_11,float64,5222,11.49,1756,49.18,49.18,49.18
wide_odds_6_12,float64,7607,16.74,1631,19.19,19.19,19.19
wide_odds_6_13,float64,10881,23.95,1580,10.68,10.68,10.68
wide_odds_6_14,float64,13796,30.36,1453,79.0,79.0,79.0
wide_odds_6_15,float64,18446,40.6,1298,30.35,30.35,30.35
wide_odds_6_16,float64,23767,52.31,1082,40.26,40.26,40.26
wide_odds_6_17,float64,40203,88.48,282,105.35,105.35,105.35
wide_odds_6_18,float64,41425,91.17,219,151.87,151.87,151.87
wide_odds_7_8,float64,823,1.81,1722,2.15,2.15,2.15
wide_odds_7_9,float64,1704,3.75,1807,1.9,1.9,1.9
wide_odds_7_10,float64,3139,6.91,1743,0.36,0.36,0.36
wide_odds_7_11,float64,5232,11.51,1712,1.77,1.77,1.77
wide_odds_7_12,float64,7607,16.74,1620,0.5,0.5,0.5
wide_odds_7_13,float64,10881,23.95,1553,0.3,0.3,0.3
wide_odds_7_14,float64,13820,30.42,1444,2.16,2.16,2.16
wide_odds_7_15,float64,18458,40.62,1300,0.79,0.79,0.79
wide_odds_7_16,float64,23766,52.31,1098,1.0,1.0,1.0
wide_odds_7_17,float64,40187,88.45,284,1.12,1.12,1.12
wide_odds_7_18,float64,41409,91.13,219,2.31,2.31,2.31
wide_odds_8_9,float64,1627,3.58,1755,11.57,11.57,11.57
wide_odds_8_10,float64,3068,6.75,1719,4.14,4.14,4.14
wide_odds_8_11,float64,5147,11.33,1727,14.18,14.18,14.18
wide_odds_8_12,float64,7532,16.58,1596,5.45,5.45,5.45
wide_odds_8_13,float64,10784,23.73,1591,3.59,3.59,3.59
wide_odds_8_14,float64,13723,30.2,1451,28.86,28.86,28.86
wide_odds_8_15,float64,18399,40.49,1307,10.32,10.32,10.32
wide_odds_8_16,float64,23720,52.2,1093,11.98,11.98,11.98
wide_odds_8_17,float64,40170,88.41,284,1.01,1.01,1.01
wide_odds_8_18,float64,41392,91.1,216,2.32,2.32,2.32
wide_odds_9_10,float64,3114,6.85,1737,2.12,2.12,2.12
wide_odds_9_11,float64,5184,11.41,1772,8.98,8.98,8.98
wide_odds_9_12,float64,7569,16.66,1618,3.02,3.02,3.02
wide_odds_9_13,float64,10832,23.84,1570,2.15,2.15,2.15
wide_odds_9_14,float64,13771,30.31,1446,19.47,19.47,19.47
wide_odds_9_15,float64,18447,40.6,1317,4.79,4.79,4.79
wide_odds_9_16,float64,23782,52.34,1078,5.62,5.62,5.62
wide_odds_9_17,float64,40187,88.45,289,21.64,21.64,21.64
wide_odds_9_18,float64,41409,91.13,219,33.3,33.3,33.3
wide_odds_10_11,float64,5245,11.54,1719,2.71,2.71,2.71
wide_odds_10_12,float64,7616,16.76,1613,0.66,0.66,0.66
wide_odds_10_13,float64,10857,23.89,1570,0.48,0.48,0.48
wide_odds_10_14,float64,13810,30.39,1444,4.3,4.3,4.3
wide_odds_10_15,float64,18473,40.66,1279,0.86,0.86,0.86
wide_odds_10_16,float64,23780,52.34,1095,1.44,1.44,1.44
wide_odds_10_17,float64,40203,88.48,284,43.12,43.12,43.12
wide_odds_10_18,float64,41409,91.13,221,77.51,77.51,77.51
wide_odds_11_12,float64,7641,16.82,1572,2.43,2.43,2.43
wide_odds_11_13,float64,10905,24.0,1572,1.42,1.42,1.42
wide_odds_11_14,float64,13808,30.39,1443,12.98,12.98,12.98
wide_odds_11_15,float64,18472,40.65,1307,4.72,4.72,4.72
wide_odds_11_16,float64,23765,52.3,1104,5.24,5.24,5.24
wide_odds_11_17,float64,40170,88.41,287,4.14,4.14,4.14
wide_odds_11_18,float64,41392,91.1,220,9.56,9.56,9.56
wide_odds_12_13,float64,10842,23.86,1531,0.4,0.4,0.4
wide_odds_12_14,float64,13781,30.33,1400,4.67,4.67,4.67
wide_odds_12_15,float64,18445,40.59,1257,1.09,1.09,1.09
wide_odds_12_16,float64,23780,52.34,1065,1.49,1.49,1.49
wide_odds_12_17,float64,40187,88.45,282,30.22,30.22,30.22
wide_odds_12_18,float64,41409,91.13,219,39.69,39.69,39.69
wide_odds_13_14,float64,13799,30.37,1429,3.07,3.07,3.07
wide_odds_13_15,float64,18462,40.63,1320,0.74,0.74,0.74
wide_odds_13_16,float64,23783,52.34,1096,0.91,0.91,0.91
