column,dtype,missing_count,missing_rate,unique_count,sample_values,everyDB2_doc_meaning,inferred_nan_type,suggested_handling,reason,confidence
recordspec,object,0,0.0,1,"RA, RA, RA",レコード種別ID,N,keep_nan_candidate,欠損なし - 完全データ,high
datakubun,object,21829,48.04,2,"7, 7, 7",データ区分 (SE),B,investigate,48%欠損. 7=確定成績のみ? 要確認,medium
makedate,object,0,0.0,52,"20240715, 20240715, 20240715",データ作成年月日,N,keep_nan_candidate,欠損なし - 完全データ,high
year,int64,0,0.0,1,"2024, 2024, 2024",開催年,N,keep_nan_candidate,欠損なし - 完全データ,high
monthday,int64,0,0.0,106,"713, 713, 713",開催月日,N,keep_nan_candidate,欠損なし - 完全データ,high
jyocd,float64,0,0.0,10,"10.0, 10.0, 10.0",競馬場コード,N,keep_nan_candidate,欠損なし - 完全データ,high
kaiji,int64,0,0.0,7,"3, 3, 3",開催回,N,keep_nan_candidate,欠損なし - 完全データ,high
nichiji,int64,0,0.0,12,"5, 5, 5",開催日目,N,keep_nan_candidate,欠損なし - 完全データ,high
racenum,int64,0,0.0,12,"1, 1, 1",レース番号,N,keep_nan_candidate,欠損なし - 完全データ,high
youbicd,int64,0,0.0,3,"1, 1, 1",曜日コード,N,keep_nan_candidate,欠損なし - 完全データ,high
tokunum,int64,0,0.0,130,"0, 0, 0",特別レース番号,N,keep_nan_candidate,欠損なし - 完全データ,high
hondai,object,0,0.0,916,(all NaN),レース名(漢字),E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
fukudai,object,0,0.0,25,(all NaN),副題,E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
kakko,object,0,0.0,21,(all NaN),括弧題名,E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
hondaieng,object,0,0.0,914,(all NaN),レース名(英字),E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
fukudaieng,object,0,0.0,24,(all NaN),副題(英字),E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
kakkoeng,object,0,0.0,21,(all NaN),括弧題名(英字),E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
ryakusyo10,object,0,0.0,916,(all NaN),レース名略称10字,E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
ryakusyo6,object,0,0.0,916,(all NaN),レース名略称6字,E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
ryakusyo3,object,0,0.0,906,(all NaN),レース名略称3字,E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
kubun,int64,0,0.0,4,"0, 0, 0",レース区分,N,keep_nan_candidate,欠損なし - 完全データ,high
nkai,int64,0,0.0,55,"0, 0, 0",回数,N,keep_nan_candidate,欠損なし - 完全データ,high
gradecd,object,0,0.0,6,(all NaN),グレードコード,N,keep_nan_candidate,欠損なし - 完全データ,high
gradecdbefore,object,0,0.0,1,(all NaN),グレード変更前,N,keep_nan_candidate,欠損なし - 完全データ,high
syubetucd,int64,0,0.0,4,"11, 11, 11",種別コード(芝/ダ/障),N,keep_nan_candidate,欠損なし - 完全データ,high
kigocd,float64,26112,57.47,8,"3.0, 3.0, 3.0",馬記号コード (SE),A,unknown_category_candidate,57%欠損. 多くの馬に記号なし→NaN自然,high
jyuryocd,int64,0,0.0,4,"3, 3, 3",重量コード,N,keep_nan_candidate,欠損なし - 完全データ,high
jyokencd1,int64,0,0.0,5,"703, 703, 703",条件コード1,N,keep_nan_candidate,欠損なし - 完全データ,high
jyokencd2,int64,0,0.0,7,"0, 0, 0",条件コード2,N,keep_nan_candidate,欠損なし - 完全データ,high
jyokencd3,int64,0,0.0,5,"0, 0, 0",条件コード3,N,keep_nan_candidate,欠損なし - 完全データ,high
jyokencd4,int64,0,0.0,5,"0, 0, 0",条件コード4,N,keep_nan_candidate,欠損なし - 完全データ,high
jyokencd5,int64,0,0.0,6,"703, 703, 703",条件コード5,N,keep_nan_candidate,欠損なし - 完全データ,high
jyokenname,object,0,0.0,1,(all NaN),条件名,E,unknown_category_candidate,カテゴリ文字列 - 欠損なし,high
kyori,int64,0,0.0,21,"1000, 1000, 1000",距離(m),N,keep_nan_candidate,欠損なし - 完全データ,high
kyoribefore,int64,0,0.0,1,"0, 0, 0",距離変更前,N,keep_nan_candidate,欠損なし - 完全データ,high
trackcd,int64,0,0.0,8,"24, 24, 24",トラックコード,N,keep_nan_candidate,欠損なし - 完全データ,high
trackcdbefore,int64,0,0.0,1,"0, 0, 0",トラック変更前,N,keep_nan_candidate,欠損なし - 完全データ,high
coursekubuncd,float64,45437,100.0,1,(all NaN),"コース区分コード (RA, 障害用)",G,leakage_or_drop_candidate,100% NaN. 削除推奨,high
coursekubuncdbefore,float64,45437,100.0,1,(all NaN),コース区分変更前 (RA),G,leakage_or_drop_candidate,100% NaN. 削除推奨,high
honsyokin1,int64,0,0.0,52,"55000, 55000, 55000",本賞金1着,N,keep_nan_candidate,欠損なし - 完全データ,high
honsyokin2,int64,0,0.0,51,"22000, 22000, 22000",本賞金2着,N,keep_nan_candidate,欠損なし - 完全データ,high
honsyokin3,int64,0,0.0,52,"14000, 14000, 14000",本賞金3着,N,keep_nan_candidate,欠損なし - 完全データ,high
honsyokin4,int64,0,0.0,56,"8300, 8300, 8300",本賞金4着,N,keep_nan_candidate,欠損なし - 完全データ,high
honsyokin5,int64,0,0.0,60,"5500, 5500, 5500",本賞金5着,N,keep_nan_candidate,欠損なし - 完全データ,high
honsyokin6,int64,0,0.0,6,"0, 0, 0",本賞金6着,N,keep_nan_candidate,欠損なし - 完全データ,high
honsyokin7,int64,0,0.0,1,"0, 0, 0",本賞金7着,N,keep_nan_candidate,欠損なし - 完全データ,high
honsyokinbefore1,int64,0,0.0,4,"0, 0, 0",本賞金変更前1着,N,keep_nan_candidate,欠損なし - 完全データ,high
honsyokinbefore2,int64,0,0.0,8,"0, 0, 0",本賞金変更前2着,N,keep_nan_candidate,欠損なし - 完全データ,high
honsyokinbefore3,int64,0,0.0,10,"0, 0, 0",本賞金変更前3着,N,keep_nan_candidate,欠損なし - 完全データ,high
honsyokinbefore4,int64,0,0.0,10,"0, 0, 0",本賞金変更前4着,N,keep_nan_candidate,欠損なし - 完全データ,high
honsyokinbefore5,int64,0,0.0,9,"0, 0, 0",本賞金変更前5着,N,keep_nan_candidate,欠損なし - 完全データ,high
fukasyokin1,int64,0,0.0,107,"0, 0, 0",付加賞金1着,N,keep_nan_candidate,欠損なし - 完全データ,high
fukasyokin2,int64,0,0.0,109,"0, 0, 0",付加賞金2着,N,keep_nan_candidate,欠損なし - 完全データ,high
fukasyokin3,int64,0,0.0,108,"0, 0, 0",付加賞金3着,N,keep_nan_candidate,欠損なし - 完全データ,high
fukasyokin4,int64,0,0.0,3,"0, 0, 0",付加賞金4着,N,keep_nan_candidate,欠損なし - 完全データ,high
fukasyokin5,int64,0,0.0,1,"0, 0, 0",付加賞金5着,N,keep_nan_candidate,欠損なし - 完全データ,high
